iso_code	continent	location	date	total_cases	total_deaths	total_tests	positive_rate	population	gdp_per_capita	extreme_poverty	diabetes_prevalence	hospital_beds_per_thousand	life_expectancy	human_development_index	casos_por_persona	casos_por_millon
TWN	Asia	Taiwan	2020-09-11	496	7	NA	NA	23816775	NA	NA	NA	NA	80.46	NA	2.08256575459944e-05	20.8256575459944
TZA	Africa	Tanzania	2020-09-11	509	21	NA	NA	59734213	2683.304	49.1	5.75	0.7	65.46	0.538	8.52107987092757e-06	8.52107987092757
UGA	Africa	Uganda	2020-09-11	4291	48	NA	NA	45741000	1697.707	41.6	2.5	0.5	63.37	0.516	9.38108043112306e-05	93.8108043112306
UKR	Europe	Ukraine	2020-09-11	148756	3076	1806428	0.129	43733759	7894.393	0.1	7.11	8.8	72.06	0.751	0.00340139982021669	3401.39982021669
URY	South America	Uruguay	2020-09-11	1759	45	NA	NA	3473727	20551.409	0.1	6.93	2.8	77.91	0.804	0.000506372550289646	506.372550289646
USA	North America	United States	2020-09-11	6397227	191789	NA	NA	331002647	54225.446	1.2	10.79	2.77	78.86	0.924	0.0193268152323869	19326.8152323869
UZB	Asia	Uzbekistan	2020-09-11	45927	375	NA	NA	33469199	6253.104	NA	7.57	4	71.72	0.71	0.00137221688514266	1372.21688514266
VAT	Europe	Vatican	2020-09-11	12	0	NA	NA	809	NA	NA	NA	NA	75.12	NA	0.0148331273176761	14833.1273176761
VCT	North America	Saint Vincent and the Grenadines	2020-09-11	62	0	NA	NA	110947	10727.146	NA	11.62	2.6	72.53	0.723	0.000558825385093784	558.825385093784
VEN	South America	Venezuela	2020-09-11	57823	460	NA	NA	28435943	16745.022	NA	6.47	0.8	72.06	0.761	0.00203344759834411	2033.44759834411
VGB	North America	British Virgin Islands	2020-09-11	63	1	NA	NA	30237	NA	NA	13.67	NA	79.07	NA	0.00208354003373351	2083.5400337335
VIR	North America	United States Virgin Islands	2020-09-11	1201	18	NA	NA	104423	NA	NA	12.26	NA	80.58	NA	0.0115012976068491	11501.2976068491
VNM	Asia	Vietnam	2020-09-11	1059	35	NA	NA	97338583	6171.884	2	6	2.6	75.4	0.694	1.08795501985066e-05	10.8795501985066
OWID_KOS	Europe	Kosovo	2020-09-11	14446	581	NA	NA	1932774	9795.834	0.6	NA	NA	NA	NA	0.00747423133796295	7474.23133796295
YEM	Asia	Yemen	2020-09-11	2003	580	NA	NA	29825968	1479.147	18.8	5.35	0.7	66.12	0.452	6.71562445181997e-05	67.1562445181997
